Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-102.3036	-361.9675	259.6639	2.708286	2.563694	4.483309	1.045431
6	-102.1489	-361.724	259.5751	2.96156	2.563694	4.483309	0.8730895
12	-103.8919	-363.2005	259.3086	2.928774	5.237138	3.065642	0.6682614
18	-107.8436	-366.8586	259.015	3.044854	5.237138	3.51518	0.6682614
24	-109.0698	-367.2352	258.1654	3.035529	9.574193	3.51518	0.5609375
30	-106.5255	-365.2261	258.7006	3.192265	6.073947	3.51518	0.4770754
36	-108.9581	-368.8611	259.903	3.079497	2.702032	3.51518	0.55045
42	-100.7868	-360.9238	260.137	2.921926	2.441204	3.51518	0.6824525
48	-95.9711	-355.9515	259.9804	2.747285	2.441204	3.51518	1.0755
54	-99.59504	-360.0043	260.4092	2.429571	1.306748	3.51518	1.565408
60	-100.0491	-358.8674	258.8183	2.215266	2.681193	3.851443	2.150571
66	-95.47437	-353.4369	257.9626	2.046651	4.082299	3.851443	2.456089
72	-97.83254	-357.1674	259.3349	2.471833	5.292971	2.614116	1.314888
78	-93.36225	-355.0458	261.6836	2.175206	1.351743	1.923784	1.328738
84	-96.91106	-358.529	261.618	2.157259	1.631289	1.923784	1.227687
90	-96.2096	-358.577	262.3674	2.233302	1.631289	1.17955	0.9633074
96	-103.4404	-365.6639	262.2236	2.180681	2.040674	1.17955	0.8972455
102	-99.34561	-361.2821	261.9365	2.214411	2.546268	1.17955	0.8816934
108	-102.8385	-364.6157	261.7772	2.302448	2.791905	1.17955	0.8294565
114	-102.0326	-364.6978	262.6652	2.197948	1.274933	1.17955	0.970175
120	-101.9016	-363.7556	261.854	2.358254	2.663095	1.17955	0.7263333
126	-120.9027	-382.1556	261.2529	2.496145	4.999014	0.8819889	0.4775827
132	-115.2508	-377.001	261.7501	2.531345	3.352243	0.8819889	0.5701545
138	-116.9563	-378.7693	261.813	2.498363	3.352243	0.7350638	0.827873
144	-118.9729	-380.954	261.9811	2.389846	2.236906	1.038712	0.9563627
150	-117.509	-380.5266	263.0176	2.389846	1.250985	0.8507109	0.7277579
156	-114.7723	-377.2892	262.5169	2.707014	1.089527	1.267654	0.5499612
162	-118.4255	-381.3304	262.9049	2.672491	1.028414	0.9512218	0.5437118
168	-114.8452	-376.1424	261.2971	2.970316	3.161405	0.9512218	0.3962818
174	-108.996	-369.8645	260.8685	2.933104	3.840616	1.19293	0.4491412
180	-137.755	-400.7182	262.9633	1.237168	1.018247	0.3211364	2.452967
186	-129.6404	-393.983	264.3425	1.274651	0.7649651	0.2833564	1.761338
192	-131.4307	-396.1473	264.7166	1.529629	0.4770851	0.1738349	1.822595
198	-126.5295	-391.2932	264.7637	1.460061	0.5621655	0.2227271	1.638493
204	-107.4612	-369.6011	262.1399	2.700542	0.9978485	1.873219	0.6638929
210	-108.9172	-371.2418	262.3246	2.69068	0.8572397	1.873219	0.6018377
216	-106.0386	-368.2908	262.2521	2.69068	0.8572397	1.90217	0.7161511
222	-106.2966	-367.7545	261.4579	2.63266	2.414232	1.488184	0.7161511
228	-112.8082	-374.7269	261.9187	2.550594	2.21771	1.158346	0.7020504
234	-107.9765	-369.9326	261.956	2.572115	2.21771	1.158346	0.5558224
240	-109.7455	-372.0341	262.2886	2.368458	2.21771	0.9900685	0.6476907
246	-112.7448	-374.3674	261.6226	2.841056	1.626752	1.716739	0.4643925
252	-103.9497	-365.4551	261.5053	2.741616	3.268759	0.9485118	0.4505495
258	-97.58881	-359.8574	262.2686	2.452231	2.097263	0.9485118	0.7305319
264	-96.51954	-359.3769	262.8574	2.646303	1.026648	0.9485118	0.7305319
270	-94.53137	-356.7846	262.2533	2.800587	1.026648	1.538457	0.6208268
276	-97.11889	-359.8465	262.7276	2.380959	2.12653	0.6382888	0.6732278
282	-96.228	-360.0336	263.8056	2.185142	2.12653	0.1909122	0.686831
288	-96.95524	-361.0785	264.1233	2.200337	1.635559	0.1909122	0.6246637
294	-116.3429	-380.0736	263.7308	2.363551	1.635559	0.2793403	0.5912557
300	-103.9752	-366.9065	262.9313	2.619929	1.635559	0.5741125	0.4661529
306	-104.3519	-366.4169	262.065	2.83222	1.635559	1.143669	0.4595335
312	-105.1097	-367.7457	262.6361	2.766605	1.014391	1.143669	0.4473844
318	-95.93879	-358.4894	262.5506	3.008408	0.8377684	1.143669	0.3760627
324	-100.6255	-363.0079	262.3824	2.657605	2.213526	0.6849464	0.4456142
330	-100.4367	-362.8432	262.4065	2.699008	2.095246	0.6849464	0.4456142
336	-92.98676	-356.1256	263.1389	2.863074	0.6909459	0.9064062	0.4425149
342	-103.2516	-365.1437	261.892	2.926051	3.209164	0.4776113	0.3294348
348	-97.01175	-359.0682	262.0565	2.8077	3.209164	0.4776113	0.3873119
354	-97.75191	-360.0471	262.2952	2.527017	3.209164	0.4776113	0.3335354
360	-103.9263	-365.1826	261.2563	3.063539	2.232343	1.272507	0.3024053
366	-107.3886	-368.9946	261.606	3.063539	1.760711	1.17502	0.2935476
372	-109.5939	-371.4079	261.814	2.989621	1.231728	1.613205	0.3789531
378	-113.3195	-374.7526	261.4331	3.410827	0.9676672	1.792077	0.2917078
384	-123.3644	-383.6943	260.3299	3.396256	2.51141	1.792077	0.256472
390	-107.4546	-368.7841	261.3295	3.042477	1.57656	1.792077	0.3254027
396	-112.9985	-374.078	261.0794	3.29496	1.57656	1.792077	0.3276595
402	-110.0451	-371.2359	261.1908	3.269575	1.57656	1.666101	0.3306345
408	-120.3523	-381.3006	260.9482	3.275028	1.57656	2.046339	0.3306345
414	-117.6299	-378.5279	260.898	3.032771	1.57656	2.763917	0.4721497
420	-126.038	-386.854	260.816	3.032771	2.237007	2.122671	0.5223833
426	-119.6188	-380.1008	260.482	3.289531	2.237007	2.122671	0.3273686
432	-115.5276	-376.7517	261.2241	3.289531	0.9769934	2.561884	0.4119576
438	-112.0316	-372.689	260.6574	3.184341	2.722022	1.605366	0.3171275
444	-107.6693	-368.395	260.7257	3.160349	2.722022	1.468881	0.2775509
450	-113.6503	-374.9828	261.3325	2.729385	4.150329	0.8046036	0.3828285
456	-121.4866	-382.6379	261.1513	2.819334	4.150329	0.8722188	0.3622766
462	-121.0996	-382.6629	261.5634	2.852117	3.213713	0.796756	0.3927774
468	-111.1531	-372.9447	261.7916	3.164898	1.370435	1.241851	0.3544237
474	-111.0883	-372.4968	261.4085	3.022227	1.625919	1.772118	0.4973956
480	-114.7422	-376.388	261.6458	3.02894	1.299645	1.772118	0.5215527
486	-104.7464	-366.1875	261.4411	2.694828	2.093363	1.772118	0.4597767
492	-105.3379	-367.5895	262.2515	2.720494	1.358767	1.296283	0.5242403
498	-105.1044	-366.8019	261.6975	2.906854	1.358767	1.789686	0.5827193
504	-111.1042	-372.7613	261.6571	2.645263	1.358767	2.262756	0.6524484
510	-104.2296	-366.915	262.6855	2.275878	0.6367437	1.751435	1.111656
516	-107.0197	-368.9623	261.9427	2.513508	1.264438	1.751435	0.9540817
522	-106.9822	-368.7937	261.8115	2.517358	1.264438	2.250658	0.7515278
528	-104.0143	-365.4875	261.4733	2.73386	1.416927	2.250658	0.7508862
534	-107.7415	-368.087	260.3455	2.691553	2.435108	2.701076	1.104377
540	-108.5337	-369.228	260.6943	2.693783	2.021992	2.701076	0.9811927
546	-96.95858	-357.4916	260.5331	2.625925	1.865737	3.18671	1.090554
552	-101.5303	-363.6003	262.07	2.298106	1.328049	1.003169	1.494736
558	-103.3046	-366.0514	262.7468	2.103629	1.921945	0.6528453	1.094921
564	-93.10073	-356.7014	263.6006	1.909213	0.8865936	0.7153633	1.169336
570	-97.36984	-361.6194	264.2496	2.089099	0.8865936	0.3361036	0.9738603
576	-110.0063	-372.8733	262.867	1.617312	1.603328	0.3361036	1.935106
582	-100.4694	-365.1336	264.6642	1.8834	1.089214	0.2110386	0.8611222
588	-97.72256	-361.3518	263.6292	1.959414	2.117696	0.2110386	1.092421
594	-89.41087	-353.6134	264.2025	2.04755	1.099767	0.3257204	0.8599092
600	-89.08153	-353.3552	264.2737	2.299753	0.9940054	0.2908942	0.6467871
606	-96.5009	-361.0568	264.5559	2.25917	0.8069503	0.2836467	0.5906546
612	-111.4071	-376.1949	264.7878	2.220059	0.8069503	0.2014132	0.6587439
618	-107.6486	-371.5368	263.8882	2.344742	1.199763	0.3704469	0.5739117
624	-92.77566	-356.7009	263.9253	2.274157	1.199763	0.384036	0.5956285
630	-116.7395	-381.3068	264.5673	2.274157	0.7948276	0.2692238	0.6507334
636	-125.0592	-389.6097	264.5505	2.322512	0.7948276	0.2692238	0.5587685
642	-112.1454	-376.2065	264.0611	2.304345	0.8493435	0.4917406	0.520045
648	-103.6714	-367.6865	264.0151	2.466616	1.334715	0.2193317	0.5658325
654	-111.3202	-375.718	264.3977	2.416347	0.9717302	0.2193317	0.5421571
660	-106.6537	-370.6741	264.0205	2.60006	0.7835049	0.3930338	0.5121742
666	-110.9018	-375.1614	264.2597	2.509426	0.7835049	0.307876	0.3848282
672	-102.5437	-366.926	264.3823	2.401888	0.7835049	0.307876	0.5959672
678	-100.0198	-364.2172	264.1975	2.601603	0.7835049	0.307876	0.4732671
684	-99.81413	-364.6192	264.805	2.435873	0.6254063	0.2121063	0.431211
690	-97.31846	-362.4226	265.1042	2.251766	0.6254063	0.1676461	0.6385735
696	-101.0523	-365.5163	264.4639	2.206298	0.7410436	0.3630085	0.6984454
702	-88.7643	-353.0234	264.2591	2.029341	0.7410436	0.4572763	0.957622
708	-105.3245	-369.8824	264.558	2.022117	0.5856704	0.4037308	0.9755943
714	-107.2011	-371.8302	264.6292	2.137686	0.5856704	0.3983648	0.7672495
720	-120.8468	-385.0181	264.1713	2.331696	0.5856704	0.58994	0.6724692
726	-109.3533	-373.4266	264.0733	2.133705	0.5856704	0.58994	1.03705
732	-114.0733	-377.2431	263.1698	2.101714	0.8552869	0.8117852	1.299819
738	-111.7943	-374.2071	262.4128	2.066632	0.8031044	1.317278	1.57909
744	-111.3602	-375.3536	263.9934	1.8387	0.285117	0.6893438	1.674333
750	-132.7302	-395.4805	262.7503	1.563013	1.517328	0.3793972	2.030263
756	-124.1411	-387.1233	262.9822	1.268478	0.6754029	0.3793972	2.58906
762	-119.7615	-382.3181	262.5566	1.829633	1.360808	0.6893438	1.722431
768	-111.9919	-374.8666	262.8748	1.812725	1.360808	0.3689092	1.872711
774	-110.4734	-375.1908	264.7174	1.821335	0.8837573	0.2231758	1.052817
780	-109.1893	-373.1279	263.9386	1.619967	0.3730016	0.2985565	2.182637
786	-95.44954	-360.3169	264.8674	1.569253	0.5086617	0.1418702	1.729358
792	-105.6821	-370.0189	264.3368	1.788904	1.003255	0.2361013	1.274685
798	-104.2293	-368.5852	264.3558	1.414629	0.8242036	0.2361013	1.688976
804	-103.6282	-368.7346	265.1064	1.641452	0.3940163	0.1945971	1.526146
810	-118.4221	-383.6059	265.1838	1.667312	0.3940163	0.2629642	1.299561
816	-111.4409	-376.7656	265.3247	1.960992	0.4971691	0.1446496	1.068563
822	-103.265	-368.5729	265.3079	2.399853	0.4971691	0.1300919	0.5701149
